MSISDN,IMEI,Brand,Model,GPRS,EDGE,UMTS,HSDPA,HSUPA,LTE,Data Only,GSM 850,GSM 900,GSM 1800,GSM 1900,WCDMA I 2100,WCDMA II 1900,WCDMA III 1800,WCDMA IV 1700,WCDMA V 850,WCDMA VI 800,WCDMA VII 2600,WCDMA VIII 900,WCDMA XI 1500,LTE Band 1,LTE Band 2,LTE Band 3,LTE Band 4,LTE Band 5,LTE Band 6,LTE Band 7,LTE Band 8,LTE Band 9,LTE Band 11,LTE Band 12,LTE Band 13,LTE Band 14,LTE Band 17,LTE Band 18,LTE Band 19,LTE Band 20,LTE Band 25,LTE Band 38,LTE Band 39,LTE Band 40,LTE Band 41,LTE Band 42,LTE Band 43,LTE Band 61,LTE Band 62,LTE Band 63,LTE Band 28,OS name,OS version,IMSI,Device Type,DualSIM,DetectionDate,VoLTE
980000000000a,350000000000024,Century Exports,Century Exports_1 Music,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Proprietary,N/A,420000000000511,BasicPhone,Y,2020-11-1112:22:33.265774,N
9800000000002,350000000000005,Intex,Intex IE0219ND/ECO111,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Proprietary,N/A,420000000000039,Basic Phone,Y,2020-11-02 15:43:42.53707,N
9800000000003,350000000000481,TeleTalk,TeleTalk CL101 Music,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Proprietary,N/A,420000000000051,Basic Phone,Y,2020-11-29 06:32:16.065047,N
9800000000004,860000000000769,Vivo,Vivo 1820/Y91C/Y91C 2020/Y91I,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Android OS,8.1,420000000000854,Phablet,Y,2020-05-31 11:40:10.289372,N
9800000000005,350000000000969,Itel Technology Limited,Itel Technology Limited IT2163/Value 100,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Proprietary,N/A,420000000000256,Basic Phone,Y,2020-07-23 23:37:24.172545,N
9800000000006,350000000000671,Samsung,,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,Android OS,4.4.4,420000000000773,Smartphone,Y,2020-11-02 16:53:11.79308,N
9800000000007,350000000000325,Nokia,Nokia X1-01,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Proprietary,N/A,420000000000102,Basic Phone,Y,2018-08-31 09:20:29.176264,N
9800000000008,350000000000267,Samsung,Samsung SM-J200GDD/Samsung Galaxy J2 Duos,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Android OS,5.1.1,420000000000578,Smartphone,Y,2020-06-01 10:54:10.060222,Y
9800000000009,860000000000509,Oppo,Oppo CPH1909/A5s,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,Android OS,8.1,420000000000098,Smartphone,Y,2020-07-20 12:34:59.88821,Y
9800000000010,350000000000924,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Proprietary,N/A,420000000000847,Basic Phone,N,2020-03-10 10:20:10.699953,N
9800000000011,860000000000979,Xiaomi,Xiaomi M2006C3MG/Xiaomi Redmi 9C,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Android OS,x,420000000000293,Phablet,Y,2020-10-27 14:12:08.07918,Y
9800000000012,860000000000669,Oppo,Oppo CPH1911/ F11,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Android OS,9.0,420000000000023,Smartphone,Y,2020-11-30 22:31:23.544942,N
